country,sub-region,subregion_and_city,geo_type,date,driving,transit,walking
Ireland,Clare,Clare,sub-region,2020-01-13,0.0,,
Ireland,Clare,Clare,sub-region,2020-01-14,11.599999999999996,,
Ireland,Clare,Clare,sub-region,2020-01-15,10.97,,
Ireland,Clare,Clare,sub-region,2020-01-16,10.569999999999991,,
Ireland,Clare,Clare,sub-region,2020-01-17,15.629999999999995,,
Ireland,Clare,Clare,sub-region,2020-01-18,44.6,,
Ireland,Clare,Clare,sub-region,2020-01-19,38.87000000000001,,
Ireland,Clare,Clare,sub-region,2020-01-20,10.430000000000009,,
Ireland,Clare,Clare,sub-region,2020-01-21,11.329999999999998,,
Ireland,Clare,Clare,sub-region,2020-01-22,6.719999999999999,,
Ireland,Clare,Clare,sub-region,2020-01-23,8.370000000000005,,
Ireland,Clare,Clare,sub-region,2020-01-24,17.909999999999997,,
Ireland,Clare,Clare,sub-region,2020-01-25,52.16999999999999,,
Ireland,Clare,Clare,sub-region,2020-01-26,42.05000000000001,,
Ireland,Clare,Clare,sub-region,2020-01-27,9.049999999999997,,
Ireland,Clare,Clare,sub-region,2020-01-28,0.9399999999999976,,
Ireland,Clare,Clare,sub-region,2020-01-29,4.159999999999997,,
Ireland,Clare,Clare,sub-region,2020-01-30,2.6899999999999977,,
Ireland,Clare,Clare,sub-region,2020-01-31,26.29000000000001,,
Ireland,Clare,Clare,sub-region,2020-02-01,46.75,,
Ireland,Clare,Clare,sub-region,2020-02-02,37.84,,
Ireland,Clare,Clare,sub-region,2020-02-03,0.21999999999999886,,
Ireland,Clare,Clare,sub-region,2020-02-04,9.36,,
Ireland,Clare,Clare,sub-region,2020-02-05,7.519999999999996,,
Ireland,Clare,Clare,sub-region,2020-02-06,13.700000000000005,,
Ireland,Clare,Clare,sub-region,2020-02-07,34.21000000000001,,
Ireland,Clare,Clare,sub-region,2020-02-08,18.58,,
Ireland,Clare,Clare,sub-region,2020-02-09,22.480000000000004,,
Ireland,Clare,Clare,sub-region,2020-02-10,5.459999999999994,,
Ireland,Clare,Clare,sub-region,2020-02-11,11.599999999999996,,
Ireland,Clare,Clare,sub-region,2020-02-12,6.219999999999999,,
Ireland,Clare,Clare,sub-region,2020-02-13,5.959999999999994,,
Ireland,Clare,Clare,sub-region,2020-02-14,49.53,,
Ireland,Clare,Clare,sub-region,2020-02-15,48.41,,
Ireland,Clare,Clare,sub-region,2020-02-16,59.02000000000001,,
Ireland,Clare,Clare,sub-region,2020-02-17,48.90000000000001,,
Ireland,Clare,Clare,sub-region,2020-02-18,41.28999999999999,,
Ireland,Clare,Clare,sub-region,2020-02-19,47.25,,
Ireland,Clare,Clare,sub-region,2020-02-20,57.1,,
Ireland,Clare,Clare,sub-region,2020-02-21,60.86000000000002,,
Ireland,Clare,Clare,sub-region,2020-02-22,56.47,,
Ireland,Clare,Clare,sub-region,2020-02-23,50.83000000000001,,
Ireland,Clare,Clare,sub-region,2020-02-24,12.939999999999998,,
Ireland,Clare,Clare,sub-region,2020-02-25,8.780000000000001,,
Ireland,Clare,Clare,sub-region,2020-02-26,19.66,,
Ireland,Clare,Clare,sub-region,2020-02-27,13.569999999999993,,
Ireland,Clare,Clare,sub-region,2020-02-28,42.00999999999999,,
Ireland,Clare,Clare,sub-region,2020-02-29,0.09000000000000341,,
Ireland,Clare,Clare,sub-region,2020-03-01,51.55000000000001,,
